year,cds,ccode,cdcode,scode,rtype,sname,dname,cname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark11,pctbothbenchmark11
2018-19,1.96473E+13,19,1964733,132126,S,Bert Corona Charter High,Los Angeles Unified,Los Angeles,Yes,0.810699588,43,29,8,27.59,4,13.79,3,10.34,78,66,18,27.27,9,13.64,6,9.09
2018-19,1.96473E+13,19,1964733,117762,S,School for the Visual Arts and Humanities,Los Angeles Unified,Los Angeles,No,0.938356164,87,64,25,39.06,5,7.81,3,4.69,94,87,23,26.44,13,14.94,8,9.2
2018-19,1.96473E+13,19,1964733,108894,S,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,Yes,0.98677686,138,138,58,42.03,36,26.09,31,22.46,149,144,86,59.72,67,46.53,59,40.97
2018-19,1.96473E+13,19,1964733,109454,S,South East High,Los Angeles Unified,Los Angeles,No,0.911764706,368,220,128,58.18,45,20.45,43,19.55,490,421,220,52.26,96,22.8,88,20.9
2018-19,1.96473E+13,19,1964733,1935568,S,John Marshall Senior High,Los Angeles Unified,Los Angeles,No,0.732885342,552,395,280,70.89,183,46.33,177,44.81,578,493,343,69.57,248,50.3,244,49.49
2018-19,1.96473E+13,19,1964733,1939107,S,Verdugo Hills Senior High,Los Angeles Unified,Los Angeles,No,0.748650732,327,108,79,73.15,54,50,52,48.15,306,269,161,59.85,94,34.94,87,32.34
2018-19,1.96473E+13,19,1964733,1939941,S,John F. Kennedy High,Los Angeles Unified,Los Angeles,No,0.751383567,463,245,157,64.08,83,33.88,78,31.84,544,506,269,53.16,177,34.98,162,32.02
2018-19,1.96473E+13,19,1964733,122606,S,PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,Yes,0.79868709,100,76,42,55.26,21,27.63,19,25,102,73,53,72.6,33,45.21,31,42.47
2018-19,1.96473E+13,19,1964733,101329,S,William J. Johnston Community Day,Los Angeles Unified,Los Angeles,No,0.966386555,8,0,,,,,,,14,8,,,,,,
2018-19,1.96473E+13,19,1964733,6019475,S,Thirty-Second Street USC Performing Arts,Los Angeles Unified,Los Angeles,No,0.895043732,73,57,31,54.39,12,21.05,11,19.3,77,73,40,54.79,25,34.25,22,30.14
2018-19,1.96473E+13,19,1964733,1932318,S,Eagle Tree Continuation,Los Angeles Unified,Los Angeles,No,0.782608696,57,0,,,,,,,7,22,1,4.55,0,0,0,0
2018-19,1.96473E+13,19,1964733,1933118,S,John C. Fremont Senior High,Los Angeles Unified,Los Angeles,No,0.947474747,402,85,35,41.18,11,12.94,9,10.59,452,465,111,23.87,28,6.02,25,5.38
2018-19,1.96473E+13,19,1964733,1933795,S,Ulysses S. Grant Senior High,Los Angeles Unified,Los Angeles,No,0.843403827,432,151,92,60.93,61,40.4,55,36.42,401,373,190,50.94,104,27.88,94,25.2
2018-19,1.96473E+13,19,1964733,1934033,S,Hollywood Senior High,Los Angeles Unified,Los Angeles,No,0.861580014,334,174,114,65.52,65,37.36,61,35.06,320,309,179,57.93,97,31.39,89,28.8
