year,cds,ccode,cdcode,scode,rtype,dname,cname,sname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
2018-19,19647331936160.0,19.0,1964733.0,1936160.0,S,Los Angeles Unified,Los Angeles,Nathaniel Narbonne Senior High,No,0.7582720588235294,543.0,50.0,21,19,20,21,23,46.0
2018-19,19647330102541.0,19.0,1964733.0,102541.0,S,Los Angeles Unified,Los Angeles,New Designs Charter,Yes,0.9146198830409357,86.0,68.0,17,16,18,17,7,10.29
2018-19,19647330120071.0,19.0,1964733.0,120071.0,S,Los Angeles Unified,Los Angeles,New Designs Charter School-Watts,Yes,0.9275,47.0,25.0,14,11,15,15,0,0.0
2018-19,19647331936350.0,19.0,1964733.0,1936350.0,S,Los Angeles Unified,Los Angeles,North Hollywood Senior High,No,0.7121332275971451,573.0,52.0,27,27,26,25,38,73.08
2018-19,19647330106997.0,19.0,1964733.0,106997.0,S,Los Angeles Unified,Los Angeles,Orthopaedic Hospital,No,0.9284862932061978,168.0,69.0,18,17,18,19,18,26.09
2018-19,19647331995836.0,19.0,1964733.0,1995836.0,S,Los Angeles Unified,Los Angeles,Palisades Charter High,Yes,0.32186234817813764,714.0,207.0,28,28,26,26,174,84.06
2018-19,19647330124511.0,19.0,1964733.0,124511.0,S,Los Angeles Unified,Los Angeles,Performing Arts Community at Diego Rivera Learning Complex,No,0.9578544061302682,125.0,20.0,16,14,16,15,2,10.0
2018-19,19647331930650.0,19.0,1964733.0,1930650.0,S,Los Angeles Unified,Los Angeles,Phineas Banning Senior High,No,0.8995157384987893,545.0,89.0,19,17,18,18,19,21.35
2018-19,19647330107755.0,19.0,1964733.0,107755.0,S,Los Angeles Unified,Los Angeles,Port of Los Angeles High,Yes,0.6198347107438017,202.0,38.0,22,21,22,21,25,65.79
2018-19,19647330133298.0,19.0,1964733.0,133298.0,S,Los Angeles Unified,Los Angeles,PUC CALS Middle School and Early College High,Yes,0.8317025440313112,58.0,52.0,16,16,17,17,8,15.38
